"Command","Description","URL"
"backtrace(3)","support for application self-debugging","./man3/backtrace.3.html"
"backtrace_symbols(3)","support for application self-debugging","./man3/backtrace_symbols.3.html"
"backtrace_symbols_fd(3)","support for application self-debugging","./man3/backtrace_symbols_fd.3.html"
"badblocks(8)","search a device for bad blocks","./man8/badblocks.8.html"
"base64(1)","base64 encode/decode data and print to standard output","./man1/base64.1.html"
"basename(1)","strip directory and suffix from filenames","./man1/basename.1.html"
"basename(3)","parse pathname components","./man3/basename.3.html"
"bash(1)","GNU Bourne-Again SHell","./man1/bash.1.html"
"bcmp(3)","compare byte sequences","./man3/bcmp.3.html"
"bcopy(3)","copy byte sequence","./man3/bcopy.3.html"
"bdflush(2)","start, flush, or tune buffer-dirty-flush daemon","./man2/bdflush.2.html"
"be16toh(3)","convert values between host and big-/little-endian byte order","./man3/be16toh.3.html"
"be32toh(3)","convert values between host and big-/little-endian byte order","./man3/be32toh.3.html"
"be64toh(3)","convert values between host and big-/little-endian byte order","./man3/be64toh.3.html"
"ber_alloc_t(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_alloc_t.3.html"
"ber_bvarray_add(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvarray_add.3.html"
"ber_bvarray_free(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvarray_free.3.html"
"ber_bvdup(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvdup.3.html"
"ber_bvecadd(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvecadd.3.html"
"ber_bvecfree(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvecfree.3.html"
"ber_bvfree(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvfree.3.html"
"ber_bvstr(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvstr.3.html"
"ber_bvstrdup(3)","OpenLDAP LBER types and allocation functions","./man3/ber_bvstrdup.3.html"
"ber_dupbv(3)","OpenLDAP LBER types and allocation functions","./man3/ber_dupbv.3.html"
"ber_first_element(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_first_element.3.html"
"ber_flush(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_flush.3.html"
"ber_free(3)","OpenLDAP LBER types and allocation functions","./man3/ber_free.3.html"
"ber_get_bitstring(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_bitstring.3.html"
"ber_get_boolean(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_boolean.3.html"
"ber_get_enum(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_enum.3.html"
"ber_get_int(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_int.3.html"
"ber_get_next(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_next.3.html"
"ber_get_null(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_null.3.html"
"ber_get_stringa(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_stringa.3.html"
"ber_get_stringb(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_get_stringb.3.html"
"ber_next_element(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_next_element.3.html"
"ber_peek_tag(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_peek_tag.3.html"
"ber_printf(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_printf.3.html"
"ber_put_enum(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_put_enum.3.html"
"ber_put_int(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_put_int.3.html"
"ber_put_null(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_put_null.3.html"
"ber_put_ostring(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_put_ostring.3.html"
"ber_put_seq(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_put_seq.3.html"
"ber_put_set(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_put_set.3.html"
"ber_put_string(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_put_string.3.html"
"ber_scanf(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_scanf.3.html"
"ber_skip_tag(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for decoding","./man3/ber_skip_tag.3.html"
"ber_start_set(3)","OpenLDAP LBER simplified Basic Encoding Rules library routines for encoding","./man3/ber_start_set.3.html"
"ber_str2bv(3)","OpenLDAP LBER types and allocation functions","./man3/ber_str2bv.3.html"
"bind(2)","bind a name to a socket","./man2/bind.2.html"
"bindresvport(3)","bind a socket to a privileged IP port","./man3/bindresvport.3.html"
"bindtextdomain(3)","set directory containing message catalogs","./man3/bindtextdomain.3.html"
"bind_textdomain_codeset(3)","set encoding of message translations","./man3/bind_textdomain_codeset.3.html"
